Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
SVM,0.8502358490566038,0.6666666666666666,0.031007751937984496,0.05925925925925926,0.5607486711733566
Random Forest,0.8455188679245284,0.42857142857142855,0.046511627906976744,0.08391608391608392,0.6519067179868681
Gradient Boosting,0.8349056603773585,0.2962962962962963,0.06201550387596899,0.10256410256410256,0.6710871041821651
Decision Tree,0.8195754716981132,0.22727272727272727,0.07751937984496124,0.11560693641618497,0.6243275005121238
Logistic Regression,0.6709905660377359,0.25,0.5813953488372093,0.34965034965034963,0.698472253668424
